Time,break,Start/Stop,TimeStamp,break,Left,break,Right,Duration
12:40:47,*****,Sensor Made,*****
12:40:47,*****,Sensor Broken,*****
,,,12:40:47,,  55.05,,  47.99,0.033
,,,12:40:48,,  64.27,,  31.77,1.085
12:40:49,*****,Sensor Made,*****
12:40:50,*****,Sensor Broken,*****
,,,12:40:50,,  48.92,,  52.17,0.047
12:40:51,*****,Sensor Made,*****
12:40:51,*****,Sensor Broken,*****
,,,12:40:51,,  43.77,,  59.62,0.033
12:40:51,*****,Sensor Made,*****
12:40:53,*****,Sensor Broken,*****
,,,12:40:53,,  43.77,,  59.62,0.016
12:40:53,*****,Sensor Made,*****
12:40:53,*****,Sensor Broken,*****
,,,12:40:53,,  40.54,,  38.94,0.049
,,,12:40:54,,  36.71,,  50.30,1.109
12:40:55,*****,Sensor Made,*****
12:40:55,*****,Sensor Broken,*****
,,,12:40:55,,  36.71,,  50.30,0.017
,,,12:40:55,,  36.71,,  50.30,0.033
,,,12:40:56,,  47.51,,  56.63,1.086
,,,12:40:57,,  49.61,,  54.41,2.098
12:40:58,*****,Sensor Made,*****
12:43:45,*****,Sensor Broken,*****
,,,12:43:45,,  16.64,,  85.60,0.047
,,,12:43:46,,  27.72,,  74.97,1.123
,,,12:43:47,,  28.02,,  69.67,2.105
,,,12:43:48,,  39.70,,  58.22,3.11
,,,12:43:49,,  41.83,,  56.81,4.098
,,,12:43:50,,  43.17,,  55.50,5.111
,,,12:43:51,,  43.67,,  55.30,6.108
,,,12:43:52,,  43.77,,  54.67,7.097
,,,12:43:53,,  44.51,,  53.51,8.102
,,,12:43:54,,  44.44,,  52.15,9.115
,,,12:43:55,,  44.80,,  52.30,10.096
,,,12:43:56,,  45.17,,  51.99,11.101
,,,12:43:57,,  44.36,,  53.28,12.09
12:43:58,*****,Sensor Made,*****
12:44:01,*****,Sensor Broken,*****
,,,12:44:01,,  44.36,,  53.28,0.02
,,,12:44:01,,  44.36,,  53.28,0.032
,,,12:44:02,,  42.89,,  57.78,1.086
,,,12:44:03,,  38.34,,  58.31,2.091
,,,12:44:04,,  42.16,,  53.97,3.098
,,,12:44:05,,  43.84,,  51.97,4.087
12:44:05,*****,Sensor Made,*****
12:44:06,*****,Sensor Broken,*****
,,,12:44:06,,  44.05,,  50.29,0.048
,,,12:44:07,,  44.64,,  51.51,1.118
,,,12:44:08,,  51.21,,  48.42,2.107
12:44:08,*****,Sensor Made,*****
12:44:14,*****,Sensor Broken,*****
,,,12:44:14,,  50.66,,  53.87,0.049
,,,12:44:15,,  47.27,,  56.62,1.086
,,,12:44:16,,  49.83,,  49.43,2.115
12:44:16,*****,Sensor Made,*****
12:44:19,*****,Sensor Broken,*****
,,,12:44:19,,  56.61,,  48.91,0.034
12:44:19,*****,Sensor Made,*****
12:44:20,*****,Sensor Broken,*****
,,,12:44:20,,  56.61,,  48.91,0.047
,,,12:44:21,,  61.89,,  39.73,1.117
,,,12:44:22,,  51.10,,  37.77,2.123
12:44:23,*****,Sensor Made,*****
12:44:23,*****,Sensor Broken,*****
,,,12:44:23,,  51.10,,  37.77,0.017
12:44:23,*****,Sensor Made,*****
12:44:23,*****,Sensor Broken,*****
,,,12:44:23,,  51.10,,  37.77,0.033
,,,12:44:24,,  51.25,,  46.28,1.085
,,,12:44:25,,  54.12,,  44.67,2.09
,,,12:44:26,,  56.41,,  43.26,3.103
,,,12:44:27,,  57.77,,  43.45,4.084
12:44:27,*****,Sensor Made,*****
12:44:30,*****,Sensor Broken,*****
,,,12:44:30,,  57.77,,  43.45,0.017
,,,12:44:30,,  57.77,,  43.45,0.033
12:44:31,*****,Sensor Made,*****
12:44:31,*****,Sensor Broken,*****
,,,12:44:31,,  54.80,,  49.88,0.047
,,,12:44:32,,  47.24,,  51.01,1.101
,,,12:44:33,,  42.11,,  55.71,2.106
,,,12:44:34,,  44.35,,  50.80,3.094
12:44:35,*****,Sensor Made,*****
12:44:35,*****,Sensor Broken,*****
,,,12:44:35,,  45.11,,  46.82,0.049
12:44:36,*****,Sensor Made,*****
12:44:36,*****,Sensor Broken,*****
,,,12:44:36,,  45.11,,  46.82,0.048
,,,12:44:37,,  50.75,,  41.06,1.1
,,,12:44:38,,  25.55,,  50.90,2.105
,,,12:44:39,,   0.03,,  38.77,3.127
,,,12:44:40,,-  0.02,,  41.04,4.099
,,,12:44:41,,   0.83,,  70.24,5.104
,,,12:44:42,,   5.19,,  74.98,6.142
,,,12:44:43,,  17.53,,  69.87,7.098
,,,12:44:44,,  41.26,,  56.95,8.103
,,,12:44:45,,  44.34,,  53.39,9.14
,,,12:44:46,,  44.76,,  52.56,10.096
12:44:47,*****,Sensor Made,*****
12:44:47,*****,Sensor Broken,*****
,,,12:44:47,,  46.63,,  52.94,0.032
,,,12:44:49,,  48.75,,  53.62,1.086
,,,12:44:50,,  49.26,,  55.71,2.098
,,,12:44:51,,  46.78,,  57.84,3.111
,,,12:44:52,,  50.03,,  54.64,4.092
12:44:52,*****,Sensor Made,*****
12:44:52,*****,Sensor Broken,*****
,,,12:44:52,,  48.24,,  56.27,0.049
12:44:53,*****,Sensor Made,*****
12:44:53,*****,Sensor Broken,*****
,,,12:44:53,,  48.24,,  56.27,0.017
,,,12:44:53,,  48.24,,  56.27,0.032
12:44:53,*****,Sensor Made,*****
12:44:53,*****,Sensor Broken,*****
,,,12:44:53,,  47.70,,  56.27,0.032
12:44:54,*****,Sensor Made,*****
12:44:54,*****,Sensor Broken,*****
,,,12:44:54,,  47.70,,  56.27,0.047
12:44:54,*****,Sensor Made,*****
12:44:55,*****,Sensor Broken,*****
,,,12:44:55,,  49.42,,  47.38,0.033
12:44:55,*****,Sensor Made,*****
12:44:58,*****,Sensor Broken,*****
12:44:58,*****,Sensor Made,*****
12:44:58,*****,Sensor Broken,*****
,,,12:44:58,,  54.24,,  35.19,0.033
12:44:59,*****,Sensor Made,*****
12:44:59,*****,Sensor Broken,*****
,,,12:44:59,,  54.24,,  35.19,0.017
,,,12:44:59,,  54.24,,  35.19,0.032
12:44:59,*****,Sensor Made,*****
12:44:59,*****,Sensor Broken,*****
,,,12:44:59,,  54.24,,  36.86,0.048
12:44:59,*****,Sensor Made,*****
12:45:00,*****,Sensor Broken,*****
,,,12:45:00,,  47.24,,  47.44,0.048
,,,12:45:01,,  50.28,,  45.69,1.101
12:45:02,*****,Sensor Made,*****
12:45:40,*****,Sensor Broken,*****
,,,12:45:41,,  50.28,,  45.69,0.02
,,,12:45:41,,  50.28,,  45.69,0.032
,,,12:45:42,,  57.84,,  47.34,1.085
,,,12:45:43,,  37.53,,  65.95,2.089
,,,12:45:44,,  40.70,,  63.55,3.086
,,,12:45:45,,  40.49,,  62.75,4.083
,,,12:45:46,,  41.41,,  61.38,5.104
,,,12:45:47,,  41.19,,  61.11,6.077
12:45:47,*****,Sensor Made,*****
12:45:48,*****,Sensor Broken,*****
,,,12:45:48,,  38.49,,  64.74,0.048
,,,12:45:49,,  40.11,,  65.18,1.085
12:45:50,*****,Sensor Made,*****
12:45:50,*****,Sensor Broken,*****
,,,12:45:50,,  40.11,,  65.18,0.033
,,,12:45:51,,  36.79,,  69.58,1.086
12:45:51,*****,Sensor Made,*****
12:45:51,*****,Sensor Broken,*****
,,,12:45:51,,  36.79,,  69.58,0.016
,,,12:45:51,,  36.79,,  69.58,0.033
12:45:51,*****,Sensor Made,*****
12:45:52,*****,Sensor Broken,*****
,,,12:45:53,,  36.74,,  68.66,0.033
,,,12:45:54,,  34.02,,  70.76,1.085
,,,12:45:55,,  29.06,,  76.12,2.09
,,,12:45:56,,  34.14,,  67.88,3.119
,,,12:45:57,,  33.88,,  67.41,4.084
,,,12:45:58,,  28.72,,  70.58,5.113
12:45:58,*****,Sensor Made,*****
12:45:58,*****,Sensor Broken,*****
,,,12:45:58,,  28.72,,  70.58,0.033
,,,12:45:59,,  33.26,,  66.35,1.085
,,,12:46:00,,  26.81,,  72.59,2.107
,,,12:46:01,,  32.81,,  64.63,3.112
,,,12:46:02,,  28.16,,  66.83,4.085
,,,12:46:03,,  26.91,,  67.29,5.106
,,,12:46:04,,  26.87,,  68.60,6.111
,,,12:46:05,,  24.78,,  70.68,7.084
12:46:05,*****,Sensor Made,*****
12:46:06,*****,Sensor Broken,*****
,,,12:46:06,,  21.11,,  72.96,0.048
,,,12:46:07,,  42.23,,  60.41,1.102
12:46:07,*****,Sensor Made,*****
12:46:12,*****,Sensor Broken,*****
,,,12:46:12,,  42.23,,  60.41,0.047
,,,12:46:13,,  60.78,,  41.23,1.101
,,,12:46:14,,  54.85,,  39.16,2.106
,,,12:46:15,,  37.06,,  55.96,3.095
12:46:16,*****,Sensor Made,*****
12:46:16,*****,Sensor Broken,*****
,,,12:46:16,,  37.06,,  55.96,0.032
12:46:17,*****,Sensor Made,*****
12:46:17,*****,Sensor Broken,*****
,,,12:46:17,,  44.52,,  57.06,0.033
12:46:17,*****,Sensor Made,*****
12:46:17,*****,Sensor Broken,*****
,,,12:46:17,,  44.52,,  57.06,0.049
12:46:18,*****,Sensor Made,*****
12:50:45,*****,Sensor Broken,*****
,,,12:50:45,,  44.52,,  57.06,0.017
,,,12:50:45,,  44.52,,  57.06,0.03
,,,12:50:46,,  44.75,,  59.66,1.084
,,,12:50:47,,  48.16,,  53.95,2.09
,,,12:50:48,,  56.57,,  44.41,3.079
,,,12:50:49,,  65.00,,  35.29,4.084
,,,12:50:50,,  66.56,,  31.88,5.088
,,,12:50:51,,  66.16,,  32.15,6.077
,,,12:50:52,,  67.73,,  31.29,7.082
,,,12:50:53,,  69.75,,  29.54,8.103
,,,12:50:54,,  71.39,,  28.48,9.108
,,,12:50:55,,  72.55,,  26.89,10.081
,,,12:50:56,,  74.42,,  25.44,11.101
,,,12:50:57,,  76.36,,  22.85,12.106
,,,12:50:58,,  73.95,,  27.30,13.095
,,,12:50:59,,  74.61,,  26.11,14.099
,,,12:51:00,,  78.23,,  22.52,15.105
,,,12:51:01,,  79.93,,  21.63,16.094
,,,12:51:02,,  82.20,,  20.10,17.099
,,,12:51:03,,  84.45,,  17.46,18.103
12:51:04,*****,Sensor Made,*****
12:51:06,*****,Sensor Broken,*****
,,,12:51:06,,  84.45,,  17.46,0.032
,,,12:51:07,,  87.07,,  20.96,1.085
,,,12:51:08,,  59.12,,  43.34,2.09
12:51:09,*****,Sensor Made,*****
12:51:12,*****,Sensor Broken,*****
,,,12:51:12,,  59.12,,  43.34,0.033
,,,12:51:13,,  51.72,,  54.46,1.085
,,,12:51:14,,  46.69,,  52.92,2.091
,,,12:51:15,,  52.40,,  48.86,3.081
,,,12:51:16,,  49.03,,  51.20,4.093
,,,12:51:17,,  49.36,,  50.02,5.091
,,,12:51:18,,  45.37,,  54.97,6.082
12:51:18,*****,Sensor Made,*****
12:51:19,*****,Sensor Broken,*****
,,,12:51:19,,  48.53,,  56.74,0.033
12:51:19,*****,Sensor Made,*****
12:51:19,*****,Sensor Broken,*****
,,,12:51:19,,  48.53,,  56.74,0.032
,,,12:51:20,,  46.54,,  59.46,1.085
,,,12:51:21,,  41.14,,  65.79,2.092
,,,12:51:22,,  36.66,,  70.26,3.08
12:51:22,*****,Sensor Made,*****
12:51:23,*****,Sensor Broken,*****
,,,12:51:24,,  36.66,,  70.26,0.032
,,,12:51:25,,  38.50,,  66.04,1.086
,,,12:51:26,,  54.17,,  51.11,2.091
,,,12:51:27,,  53.14,,  53.72,3.08
,,,12:51:28,,  53.33,,  53.96,4.093
,,,12:51:29,,  56.25,,  51.71,5.091
12:51:29,*****,Sensor Made,*****
12:51:31,*****,Sensor Broken,*****
,,,12:51:31,,  56.25,,  51.71,0.048
,,,12:51:32,,  57.58,,  48.73,1.101
,,,12:51:33,,  57.10,,  51.65,2.107
,,,12:51:34,,  59.64,,  48.60,3.096
,,,12:51:35,,  60.09,,  47.81,4.101
,,,12:51:36,,  60.37,,  47.49,5.105
,,,12:51:37,,  59.57,,  48.57,6.094
,,,12:51:38,,  60.43,,  47.28,7.099
,,,12:51:39,,  59.96,,  48.10,8.105
12:51:39,*****,Sensor Made,*****
12:51:42,*****,Sensor Broken,*****
,,,12:51:42,,  63.87,,  41.42,0.047
,,,12:51:43,,  54.86,,  50.66,1.101
,,,12:51:44,,  57.72,,  50.74,2.106
,,,12:51:45,,  58.08,,  50.03,3.095
,,,12:51:46,,  60.39,,  47.29,4.099
,,,12:51:47,,  62.25,,  45.72,5.104
12:51:47,*****,Sensor Made,*****
12:51:49,*****,Sensor Broken,*****
,,,12:51:49,,  57.09,,  50.38,0.032
,,,12:51:50,,  56.10,,  49.94,1.093
,,,12:51:51,,  48.62,,  55.29,2.09
,,,12:51:52,,  44.51,,  58.24,3.087
,,,12:51:53,,  45.77,,  56.75,4.084
